title,price,rating,review,availability
"WD_BLACK 2TB SN850X NVMe Internal Gaming SSD Solid State Drive with Heatsink - Works with Playstation 5, Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS200T2XHE",,4.8 out of 5 stars,"18,303 ratings",In Stock
PlayStation PS5 Console – God of War Ragnarök Bundle,,4.8 out of 5 stars,"7,672 ratings",In Stock
PlayStation 5 Console CFI-1215A01X,,4.8 out of 5 stars,"2,767 ratings",In Stock
"HORI Racing Wheel Apex for Playstation 5, PlayStation 4 and PC - Officially Licensed by Sony - Compatible with Gran Turismo 7",,4.3 out of 5 stars,"1,569 ratings",In Stock
"Razer Hammerhead HyperSpeed Wireless Multi-Platform Gaming Earbuds for Playstation 5 / PS5, PC, Mobile: ANC - Noise Cancelling Mic - Bluetooth 5.2 - RGB Chroma - 30 Hr Battery",,3.3 out of 5 stars,30 ratings,Not Available
"DualSense Wireless Controller – Gray Camouflage, Playstation 5",,4.8 out of 5 stars,"72,727 ratings",In Stock
"Logitech G29 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for PS5, PS4, PC, Mac - Black",,4.6 out of 5 stars,"16,390 ratings",Not Available
DualSense Edge Wireless Controller,,4.8 out of 5 stars,"72,727 ratings",
Gotham Knights Collector’s Edition – PlayStation 5,,4.3 out of 5 stars,49 ratings,Not Available
The Last of Us Part I – PlayStation 5,,4.8 out of 5 stars,991 ratings,In Stock
Star Wars Jedi: Survivor - PlayStation 5,,Previous page of related Sponsored Products,,"This item will be released on April 28, 2023."
"Black Shark 2.4Ghz Wireless Gaming Headset for PC PS4 PS5 Laptops,Over-Ear Bluetooth 5.2 Gaming Headphones with Detachable Ultra-Clear Microphone,60 Hours Playtime, 3.5mm Wired Mode for Xbox Series",,4.1 out of 5 stars,560 ratings,Not Available
PlayStation PULSE 3D Wireless Headset – Midnight Black,,4.7 out of 5 stars,"19,965 ratings",In Stock
"NexiGo PS5 Accessories Cover Set, PS5 Controller Faceplate & Protective Shell Cover for Playstation 5 Disc Edition, Anti-Scratch Dustproof Protective Cover for Sony PS5 Console (Blue)",,4.7 out of 5 stars,977 ratings,Not Available
"Turtle Beach Stealth 700 Gen 2 Wireless Gaming Headset for PS5, PS4, PS4 Pro, PlayStation & Nintendo Switch Featuring Bluetooth, 50mm Speakers, 3D Audio Compatibility, and 20-Hour Battery - Black",,4.4 out of 5 stars,"28,743 ratings",In Stock
Final Fantasy XVI - PlayStation 5,,Previous page,,"This item will be released on June 22, 2023."
"CXCESNS 64 Bit Upgrade 3-in-1 USB Handbrake Only Applicable for G29 Compatible With PS4/PS5 + PC System Professional Game Peripherals Handbrake， Non-Contact Home Hall Sensor for Racing Games, With Dlip and Sim Card",,4.4 out of 5 stars,1 rating,Not Available
"WD_BLACK 1TB SN850X NVMe Internal Gaming SSD Solid State Drive with Heatsink - Works with Playstation 5, Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS100T2XHE",,4.8 out of 5 stars,"18,303 ratings",In Stock
"ZUMQXID PS5 disc Version Anime Skin for Console and Controllers Vinyl Sticker, Durable, Scratch Resistant, Bubble-Free, Compatible with Playstation 5(Disk Edition)",,4.4 out of 5 stars,422 ratings,Not Available
"NIUBB 8K HDMI Cable 15 Ft,2.1 HDMI Cable 15 Feet Supports 48Gbps 8K@60Hz,4K@120Hz HDR,3D,Dolby Vision,Dolby Atmos Compatible with All TVs, Xbox, PS5,PS4(Zinc Alloy housing) (15FT)",,4.1 out of 5 stars,46 ratings,Not Available
"targeal Gaming Headset with Microphone for PC PS5 PS4 Switch Laptop Mac, USB Wired 7.1 Surround Sound Gaming Headphones with Omni-Directional Noise Canceling Mic, RGB LED, Without Type C Cable",,4.3 out of 5 stars,364 ratings,Not Available
"Turtle Beach Stealth Pro Multiplatform Wireless Noise-Cancelling Gaming Headset for Xbox Series X|S, Xbox One, PS5, PS4, PC, Mac, Switch, & Mobile – 50mm speakers, Bluetooth, Dual Batteries – Black",,Previous page of related Sponsored Products,,"This item will be released on April 23, 2023."
